species,longitude,latitude
Cassins_Sparrow,-99.27106,26.902199
Cassins_Sparrow,-110.88615,31.739939
Cassins_Sparrow,-99.53224,29.6143
Cassins_Sparrow,-101.98386,33.693737
Cassins_Sparrow,-99.71415,30.304428
Cassins_Sparrow,-103.43431,32.79869
Cassins_Sparrow,-98.0725,27.156435
Cassins_Sparrow,-110.775,31.528
Cassins_Sparrow,-101.3142,32.23865
Cassins_Sparrow,-103.7193,30.9618
Cassins_Sparrow,-106.55809,33.880993
Cassins_Sparrow,-103.21536,29.096663
Cassins_Sparrow,-98.74238,31.823683
Cassins_Sparrow,-103.30074,36.574394
Cassins_Sparrow,-101.5253,32.377262
Cassins_Sparrow,-99.576256,29.815508
Cassins_Sparrow,-97.46872,31.128736
Cassins_Sparrow,-110.1866,31.7198
Cassins_Sparrow,-102.26993,39.828827
Cassins_Sparrow,-101.80824,37.12419
Cassins_Sparrow,-110.37253,31.809147
Cassins_Sparrow,-103.5961,35.833923
Cassins_Sparrow,-104.512856,35.32997
Cassins_Sparrow,-97.346695,26.229578
Cassins_Sparrow,-99.14734,26.583176
Cassins_Sparrow,-101.81528,32.893814
Cassins_Sparrow,-101.69241,33.532177
Cassins_Sparrow,-102.5594,37.63021
Cassins_Sparrow,-113.356636,38.646774
Cassins_Sparrow,-101.399345,35.038338
Cassins_Sparrow,-104.07855,40.703285
Cassins_Sparrow,-111.44452,31.573086
Cassins_Sparrow,-101.31858,29.693571
Cassins_Sparrow,-108.82196,31.719778
Cassins_Sparrow,-97.78498,29.12835
Cassins_Sparrow,-108.12635,36.305664
Cassins_Sparrow,-110.8567,31.4952
Cassins_Sparrow,-97.6909,28.62122
Cassins_Sparrow,-111.43074,31.785528
Cassins_Sparrow,-106.866745,32.281326
Cassins_Sparrow,-109.039604,32.055992
Cassins_Sparrow,-110.27769,31.467283
Cassins_Sparrow,-99.83401,32.42598
Cassins_Sparrow,-104.75181,38.265762
Cassins_Sparrow,-104.03511,38.506603
Cassins_Sparrow,-110.34668,31.520063
Cassins_Sparrow,-103.61069,29.166853
Cassins_Sparrow,-99.86544,32.327938
Cassins_Sparrow,-103.02436,36.377808
Cassins_Sparrow,-110.65564,31.67949
Cassins_Sparrow,-111.0075,32.1072
Cassins_Sparrow,-103.71351,32.559113
Cassins_Sparrow,-99.5739,36.616493
Cassins_Sparrow,-99.712105,29.495043
Cassins_Sparrow,-97.476715,25.533087
Cassins_Sparrow,-110.661674,31.77267
Cassins_Sparrow,-99.1162,26.514858
Cassins_Sparrow,-99.30336,27.99804
Cassins_Sparrow,-109.82432,32.22985
Cassins_Sparrow,-100.68661,33.21811
Cassins_Sparrow,-104.882355,38.426815
Cassins_Sparrow,-102.32761,33.91718
Cassins_Sparrow,-103.93472,30.596272
Cassins_Sparrow,-99.01814,26.405785
Cassins_Sparrow,-104.044586,35.835735
Cassins_Sparrow,-104.37073,36.919388
Cassins_Sparrow,-110.857893,32.129452
Cassins_Sparrow,-96.48842,28.51056
Cassins_Sparrow,-102.04238,37.0182
Cassins_Sparrow,-101.10629,33.48176
Cassins_Sparrow,-104.769165,31.98606
Cassins_Sparrow,-104.3736,40.787518
Cassins_Sparrow,-97.90672,27.518929
Cassins_Sparrow,-99.73317,32.44873
Cassins_Sparrow,-103.235054,30.178997
Cassins_Sparrow,-102.460724,39.76122
Cassins_Sparrow,-99.7862,29.2097
Cassins_Sparrow,-97.91359,27.802336
Cassins_Sparrow,-98.548065,27.4032
Cassins_Sparrow,-98.44265,31.022194
Cassins_Sparrow,-105.740746,33.606567
Cassins_Sparrow,-99.37464,37.895237
Cassins_Sparrow,-97.11681,28.042147
Cassins_Sparrow,-101.019356,38.889507
Cassins_Sparrow,-104.341644,38.280437
Cassins_Sparrow,-104.01291,40.80163
Cassins_Sparrow,-99.66298,31.794626
Cassins_Sparrow,-101.67126,34.965107
Cassins_Sparrow,-110.91438,31.815693
Cassins_Sparrow,-97.59052,28.5253
Cassins_Sparrow,-102.36283,37.05929
Cassins_Sparrow,-103.46704,29.491777
Cassins_Sparrow,-109.68641,31.679989
Cassins_Sparrow,-102.6151,38.0694
Cassins_Sparrow,-97.506966,28.982578
Cassins_Sparrow,-106.55727,32.36978
Cassins_Sparrow,-97.665985,26.97946
Cassins_Sparrow,-96.81882,28.240393
Cassins_Sparrow,-102.57917,37.1053
Cassins_Sparrow,-99.464676,31.009964
