strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
130201010301,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120800010305,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110200070405,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110200120206,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110800010401,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130500031301,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
111302080402,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150801010506,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120602010702,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121101110702,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130800020501,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
102600090201,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111302090102,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121001020204,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130700030401,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150200030602,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150400050206,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110902010401,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150400060106,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110400070305,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
121101080205,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121101100307,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150501000503,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150702030705,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130500010901,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110200091603,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130202060201,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110200060207,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110800040504,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130500040102,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130700110204,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150400050810,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150501000204,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
101800090802,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
101800090805,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
101900030303,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
101900030801,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130700040701,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150200040601,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
102500080304,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130403030304,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110901040305,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130500031401,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150602020501,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150502010303,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120800080402,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130800010405,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110200040102,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130100030502,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130202020101,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150602020505,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
101900020304,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
101900020502,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
