"","V1"
"X.Training.samples",93
"Regularized.training.gain",0.6359
"Unregularized.training.gain",0.75
"Iterations",500
"Training.AUC",0.8187
"X.Background.points",10074
"frwlt_avg.contribution",9.8435
"hflux_avg.contribution",16.4079
"lai_avg.contribution",31.2157
"qv2m_avg.contribution",36.122
"swgnt_avg.contribution",0.0406
"tsurf_avg.contribution",6.3703
"frwlt_avg.permutation.importance",11.2046
"hflux_avg.permutation.importance",53.9089
"lai_avg.permutation.importance",11.8765
"qv2m_avg.permutation.importance",0
"swgnt_avg.permutation.importance",0
"tsurf_avg.permutation.importance",23.0099
"Entropy",8.567
"Prevalence..average.probability.of.presence.over.background.sites.",0.3083
"Fixed.cumulative.value.1.cumulative.threshold",1
"Fixed.cumulative.value.1.Cloglog.threshold",0.0818
"Fixed.cumulative.value.1.area",0.8189
"Fixed.cumulative.value.1.training.omission",0
"Fixed.cumulative.value.5.cumulative.threshold",5
"Fixed.cumulative.value.5.Cloglog.threshold",0.1649
"Fixed.cumulative.value.5.area",0.6644
"Fixed.cumulative.value.5.training.omission",0
"Fixed.cumulative.value.10.cumulative.threshold",10
"Fixed.cumulative.value.10.Cloglog.threshold",0.2206
"Fixed.cumulative.value.10.area",0.544
"Fixed.cumulative.value.10.training.omission",0.043
"Minimum.training.presence.cumulative.threshold",5.1769
"Minimum.training.presence.Cloglog.threshold",0.1683
"Minimum.training.presence.area",0.6593
"Minimum.training.presence.training.omission",0
"X10.percentile.training.presence.cumulative.threshold",15.2902
"X10.percentile.training.presence.Cloglog.threshold",0.2648
"X10.percentile.training.presence.area",0.4439
"X10.percentile.training.presence.training.omission",0.0968
"Equal.training.sensitivity.and.specificity.cumulative.threshold",27.5423
"Equal.training.sensitivity.and.specificity.Cloglog.threshold",0.3919
"Equal.training.sensitivity.and.specificity.area",0.2775
"Equal.training.sensitivity.and.specificity.training.omission",0.2796
"Maximum.training.sensitivity.plus.specificity.cumulative.threshold",14.7987
"Maximum.training.sensitivity.plus.specificity.Cloglog.threshold",0.2597
"Maximum.training.sensitivity.plus.specificity.area",0.4523
"Maximum.training.sensitivity.plus.specificity.training.omission",0.0645
"Balance.training.omission..predicted.area.and.threshold.value.cumulative.threshold",5.1769
"Balance.training.omission..predicted.area.and.threshold.value.Cloglog.threshold",0.1683
"Balance.training.omission..predicted.area.and.threshold.value.area",0.6593
"Balance.training.omission..predicted.area.and.threshold.value.training.omission",0
"Equate.entropy.of.thresholded.and.original.distributions.cumulative.threshold",11.0879
"Equate.entropy.of.thresholded.and.original.distributions.Cloglog.threshold",0.2284
"Equate.entropy.of.thresholded.and.original.distributions.area",0.5216
"Equate.entropy.of.thresholded.and.original.distributions.training.omission",0.043
